ContactId,PurchaseId,ProductId,PurchasedOn,TotalPrice,ActivityTypeDisplay,Subject
CNTID_1000,OPID_1000,P-01008-W1C3W9,1/20/2019,2516,OnlinePurchase,Purchased a product online
CNTID_1000,OPID_1001,444,11/4/2018,2597,OnlinePurchase,Purchased a product online
CNTID_1000,OPID_1002,67,10/10/2018,2589,OnlinePurchase,Purchased a product online
CNTID_1000,OPID_1003,488,3/7/2018,144,OnlinePurchase,Purchased a product online
CNTID_1014,OPID_1004,420,8/8/2017,90,OnlinePurchase,Purchased a product online
CNTID_1003,OPID_1005,5637146336,8/9/2017,47,OnlinePurchase,Purchased a product online
CNTID_1004,OPID_1006,12,7/22/2018,209,OnlinePurchase,Purchased a product online
CNTID_1014,OPID_1007,78,12/29/2017,77,OnlinePurchase,Purchased a product online
CNTID_1014,OPID_1008,516,8/7/2018,90,OnlinePurchase,Purchased a product online
CNTID_1006,OPID_1009,305,10/25/2018,66,OnlinePurchase,Purchased a product online
CNTID_1006,OPID_1010,5637146336,1/13/2019,245,OnlinePurchase,Purchased a product online
CNTID_1008,OPID_1011,5637146312,11/4/2018,59,OnlinePurchase,Purchased a product online
CNTID_1008,OPID_1012,514,1/12/2019,247,OnlinePurchase,Purchased a product online
CNTID_1008,OPID_1013,460,1/22/2019,82,OnlinePurchase,Purchased a product online
CNTID_1009,OPID_1014,5637146357,3/31/2017,204,OnlinePurchase,Purchased a product online
CNTID_1009,OPID_1015,495,6/13/2018,88,OnlinePurchase,Purchased a product online
CNTID_1009,OPID_1016,557,7/26/2018,54,OnlinePurchase,Purchased a product online
CNTID_1009,OPID_1017,CMPNTGripArrayMaestro,11/28/2018,159,OnlinePurchase,Purchased a product online
CNTID_1009,OPID_1018,181,12/17/2018,83,OnlinePurchase,Purchased a product online
CNTID_1010,OPID_1019,71,12/17/2017,224,OnlinePurchase,Purchased a product online
CNTID_1010,OPID_1020,103,8/13/2018,213,OnlinePurchase,Purchased a product online
CNTID_1011,OPID_1021,5637146363,7/29/2018,92,OnlinePurchase,Purchased a product online
CNTID_1012,OPID_1022,222,6/14/2017,246,OnlinePurchase,Purchased a product online
CNTID_1014,OPID_1023,113,3/9/2018,101,OnlinePurchase,Purchased a product online
CNTID_1014,OPID_1024,619,7/11/2018,2461,OnlinePurchase,Purchased a product online
CNTID_1014,OPID_1025,37,9/16/2018,2534,OnlinePurchase,Purchased a product online
CNTID_1014,OPID_1026,SVCHRInstallConfigureTestAssemblyUnit,10/15/2018,2487,OnlinePurchase,Purchased a product online
CNTID_1014,OPID_1027,99,12/11/2018,2504,OnlinePurchase,Purchased a product online
CNTID_1015,OPID_1028,317,1/20/2017,186,OnlinePurchase,Purchased a product online
CNTID_1015,OPID_1029,CMPNTArmVirtuoso,11/27/2018,80,OnlinePurchase,Purchased a product online
CNTID_1015,OPID_1030,85,1/17/2019,200,OnlinePurchase,Purchased a product online
CNTID_1016,OPID_1031,5637146357,7/21/2018,226,OnlinePurchase,Purchased a product online
CNTID_1017,OPID_1032,215,2/26/2018,216,OnlinePurchase,Purchased a product online
CNTID_1017,OPID_1033,5637146327,12/28/2018,2570,OnlinePurchase,Purchased a product online
CNTID_1017,OPID_1034,177,1/3/2019,2496,OnlinePurchase,Purchased a product online
CNTID_1017,OPID_1035,522,1/26/2019,2593,OnlinePurchase,Purchased a product online
CNTID_1018,OPID_1036,641,5/9/2017,202,OnlinePurchase,Purchased a product online
CNTID_1018,OPID_1037,Office Desktop for Midsize & Enterprise (sample),1/23/2018,82,OnlinePurchase,Purchased a product online
CNTID_1018,OPID_1038,55,5/23/2018,180,OnlinePurchase,Purchased a product online
CNTID_1018,OPID_1039,545,12/11/2018,30,OnlinePurchase,Purchased a product online
CNTID_1018,OPID_1040,115,1/29/2019,125,OnlinePurchase,Purchased a product online
CNTID_1019,OPID_1041,416,8/4/2017,231,OnlinePurchase,Purchased a product online
CNTID_1019,OPID_1042,196,9/8/2018,68,OnlinePurchase,Purchased a product online
CNTID_1019,OPID_1043,296,11/23/2018,52,OnlinePurchase,Purchased a product online
CNTID_1020,OPID_1044,592,1/3/2017,172,OnlinePurchase,Purchased a product online
CNTID_1020,OPID_1045,117,7/29/2017,132,OnlinePurchase,Purchased a product online
CNTID_1020,OPID_1046,692,12/28/2018,183,OnlinePurchase,Purchased a product online
CNTID_1020,OPID_1047,103,2/1/2019,47,OnlinePurchase,Purchased a product online
CNTID_1021,OPID_1048,76,4/22/2017,33,OnlinePurchase,Purchased a product online
CNTID_1021,OPID_1049,587,9/17/2018,177,OnlinePurchase,Purchased a product online
CNTID_1021,OPID_1050,247,11/26/2018,240,OnlinePurchase,Purchased a product online
CNTID_1021,OPID_1051,161,12/20/2018,55,OnlinePurchase,Purchased a product online
CNTID_1021,OPID_1052,176,12/27/2018,59,OnlinePurchase,Purchased a product online
CNTID_1022,OPID_1053,PRDPKGAWD200,10/28/2017,199,OnlinePurchase,Purchased a product online
CNTID_1022,OPID_1054,512,4/16/2018,195,OnlinePurchase,Purchased a product online
CNTID_1022,OPID_1055,5637146397,10/12/2018,124,OnlinePurchase,Purchased a product online
CNTID_1022,OPID_1056,570,10/24/2018,232,OnlinePurchase,Purchased a product online
CNTID_1023,OPID_1057,286,2/11/2018,159,OnlinePurchase,Purchased a product online
CNTID_1023,OPID_1058,5637146339,11/29/2018,2538,OnlinePurchase,Purchased a product online
CNTID_1024,OPID_1059,549,4/8/2018,162,OnlinePurchase,Purchased a product online
CNTID_1024,OPID_1060,515,9/4/2018,112,OnlinePurchase,Purchased a product online
CNTID_1026,OPID_1061,PRDPKGAB100,1/12/2017,248,OnlinePurchase,Purchased a product online
CNTID_1026,OPID_1062,CRM Service (sample),3/29/2018,174,OnlinePurchase,Purchased a product online
CNTID_1026,OPID_1063,29,8/20/2018,125,OnlinePurchase,Purchased a product online
CNTID_1026,OPID_1064,294,8/31/2018,107,OnlinePurchase,Purchased a product online
CNTID_1027,OPID_1065,291,12/17/2018,95,OnlinePurchase,Purchased a product online
CNTID_1027,OPID_1066,CMPNTArmMaestro,2/1/2019,51,OnlinePurchase,Purchased a product online
CNTID_1027,OPID_1067,526,2/3/2019,82,OnlinePurchase,Purchased a product online
CNTID_1028,OPID_1068,3DPF078,4/12/2017,176,OnlinePurchase,Purchased a product online
CNTID_1028,OPID_1069,427,10/28/2017,248,OnlinePurchase,Purchased a product online
CNTID_1028,OPID_1070,DD3D221,8/6/2018,200,OnlinePurchase,Purchased a product online
CNTID_1029,OPID_1071,45321,4/4/2018,173,OnlinePurchase,Purchased a product online
CNTID_1029,OPID_1072,P-01009-X4L9L7,7/21/2018,250,OnlinePurchase,Purchased a product online
CNTID_1029,OPID_1073,280,1/17/2019,120,OnlinePurchase,Purchased a product online
CNTID_1030,OPID_1074,254,8/24/2017,150,OnlinePurchase,Purchased a product online
CNTID_1030,OPID_1075,494,11/17/2017,149,OnlinePurchase,Purchased a product online
CNTID_1030,OPID_1076,682,1/19/2019,121,OnlinePurchase,Purchased a product online
CNTID_1032,OPID_1077,8,9/30/2017,240,OnlinePurchase,Purchased a product online
CNTID_1032,OPID_1078,Office 365 Suite (sample),11/10/2018,249,OnlinePurchase,Purchased a product online
CNTID_1033,OPID_1079,3DPF022,2/13/2018,198,OnlinePurchase,Purchased a product online
CNTID_1033,OPID_1080,444,8/6/2018,2440,OnlinePurchase,Purchased a product online
CNTID_1033,OPID_1081,Office 365 and CRM Online: Midsize (sample),8/17/2018,2601,OnlinePurchase,Purchased a product online
CNTID_1034,OPID_1082,325,1/13/2018,95,OnlinePurchase,Purchased a product online
CNTID_1035,OPID_1083,533,6/1/2018,152,OnlinePurchase,Purchased a product online
CNTID_1035,OPID_1084,P-01016-M5H1W6,11/28/2018,96,OnlinePurchase,Purchased a product online
CNTID_1036,OPID_1085,525,9/15/2017,98,OnlinePurchase,Purchased a product online
CNTID_1038,OPID_1086,86,11/6/2018,242,OnlinePurchase,Purchased a product online
CNTID_1038,OPID_1087,334,11/7/2018,203,OnlinePurchase,Purchased a product online
CNTID_1041,OPID_1088,260,7/2/2017,118,OnlinePurchase,Purchased a product online
CNTID_1042,OPID_1089,473,1/5/2019,47,OnlinePurchase,Purchased a product online
CNTID_1042,OPID_1090,26,1/16/2019,210,OnlinePurchase,Purchased a product online
CNTID_1043,OPID_1091,684,1/14/2019,83,OnlinePurchase,Purchased a product online
CNTID_1043,OPID_1092,55,1/22/2019,244,OnlinePurchase,Purchased a product online
CNTID_1043,OPID_1093,10,2/6/2019,82,OnlinePurchase,Purchased a product online
CNTID_1043,OPID_1094,398,2/6/2019,113,OnlinePurchase,Purchased a product online
CNTID_1044,OPID_1095,557,2/1/2018,104,OnlinePurchase,Purchased a product online
CNTID_1044,OPID_1096,367,8/4/2018,72,OnlinePurchase,Purchased a product online
CNTID_1044,OPID_1097,137,10/20/2018,187,OnlinePurchase,Purchased a product online
CNTID_1046,OPID_1098,196,12/6/2018,209,OnlinePurchase,Purchased a product online
CNTID_1046,OPID_1099,421,12/21/2018,250,OnlinePurchase,Purchased a product online
CNTID_1048,OPID_1100,636,6/8/2017,137,OnlinePurchase,Purchased a product online
CNTID_1048,OPID_1101,55,1/22/2019,117,OnlinePurchase,Purchased a product online
CNTID_1048,OPID_1102,P-01023-N3L5Y7,1/25/2019,139,OnlinePurchase,Purchased a product online
CNTID_1048,OPID_1103,637,2/1/2019,100,OnlinePurchase,Purchased a product online
CNTID_1048,OPID_1104,395,2/5/2019,175,OnlinePurchase,Purchased a product online
CNTID_1049,OPID_1105,75,5/27/2017,79,OnlinePurchase,Purchased a product online
CNTID_1049,OPID_1106,337,10/14/2017,74,OnlinePurchase,Purchased a product online
CNTID_1049,OPID_1107,579,7/14/2018,170,OnlinePurchase,Purchased a product online
CNTID_1049,OPID_1108,178,11/9/2018,56,OnlinePurchase,Purchased a product online
CNTID_1050,OPID_1109,658,1/3/2017,213,OnlinePurchase,Purchased a product online
CNTID_1050,OPID_1110,419,9/16/2018,47,OnlinePurchase,Purchased a product online
CNTID_1050,OPID_1111,135,1/10/2019,249,OnlinePurchase,Purchased a product online
CNTID_1051,OPID_1112,610,11/22/2017,31,OnlinePurchase,Purchased a product online
CNTID_1051,OPID_1113,SVCHRUpgradeTestAssemblyUnit,12/2/2018,47,OnlinePurchase,Purchased a product online
CNTID_1051,OPID_1114,680,1/7/2019,46,OnlinePurchase,Purchased a product online
CNTID_1052,OPID_1115,P-01011-Z4D0X9,9/25/2017,196,OnlinePurchase,Purchased a product online
CNTID_1052,OPID_1116,431,2/25/2018,130,OnlinePurchase,Purchased a product online
CNTID_1052,OPID_1117,320,9/10/2018,2607,OnlinePurchase,Purchased a product online
CNTID_1053,OPID_1118,100,12/23/2017,73,OnlinePurchase,Purchased a product online
CNTID_1053,OPID_1119,499,1/3/2018,219,OnlinePurchase,Purchased a product online
CNTID_1053,OPID_1120,684,5/14/2018,209,OnlinePurchase,Purchased a product online
CNTID_1053,OPID_1121,458,2/3/2019,173,OnlinePurchase,Purchased a product online
CNTID_1053,OPID_1122,618,2/4/2019,117,OnlinePurchase,Purchased a product online
CNTID_1054,OPID_1123,23,6/21/2018,190,OnlinePurchase,Purchased a product online
CNTID_1054,OPID_1124,349,11/5/2018,133,OnlinePurchase,Purchased a product online
CNTID_1054,OPID_1125,280,11/19/2018,81,OnlinePurchase,Purchased a product online
CNTID_1055,OPID_1126,P-01018-C2M5Y3,7/10/2018,201,OnlinePurchase,Purchased a product online
CNTID_1056,OPID_1127,Office 365 and CRM Online: Midsize (sample),10/1/2017,42,OnlinePurchase,Purchased a product online
CNTID_1056,OPID_1128,Office Desktop (sample),10/19/2017,182,OnlinePurchase,Purchased a product online
CNTID_1058,OPID_1129,485,6/7/2017,229,OnlinePurchase,Purchased a product online
CNTID_1060,OPID_1130,554,12/9/2017,105,OnlinePurchase,Purchased a product online
CNTID_1060,OPID_1131,P-01017-K9L5B1,9/29/2018,173,OnlinePurchase,Purchased a product online
CNTID_1060,OPID_1132,222,12/13/2018,210,OnlinePurchase,Purchased a product online
CNTID_1062,OPID_1133,53,5/26/2017,134,OnlinePurchase,Purchased a product online
CNTID_1062,OPID_1134,685,6/7/2018,133,OnlinePurchase,Purchased a product online
CNTID_1062,OPID_1135,361,1/28/2019,230,OnlinePurchase,Purchased a product online
CNTID_1062,OPID_1136,5637146322,2/3/2019,154,OnlinePurchase,Purchased a product online
CNTID_1063,OPID_1137,72,1/9/2019,189,OnlinePurchase,Purchased a product online
CNTID_1063,OPID_1138,424,1/29/2019,150,OnlinePurchase,Purchased a product online
CNTID_1064,OPID_1139,406,5/16/2017,208,OnlinePurchase,Purchased a product online
CNTID_1064,OPID_1140,158,4/2/2018,175,OnlinePurchase,Purchased a product online
CNTID_1064,OPID_1141,489,11/12/2018,152,OnlinePurchase,Purchased a product online
CNTID_1064,OPID_1142,279,11/12/2018,200,OnlinePurchase,Purchased a product online
CNTID_1065,OPID_1143,534,5/18/2018,176,OnlinePurchase,Purchased a product online
CNTID_1065,OPID_1144,P-01030-N6C8D9,12/7/2018,157,OnlinePurchase,Purchased a product online
CNTID_1065,OPID_1145,259,12/14/2018,86,OnlinePurchase,Purchased a product online
CNTID_1065,OPID_1146,5637146371,12/14/2018,69,OnlinePurchase,Purchased a product online
CNTID_1067,OPID_1147,437,8/18/2017,104,OnlinePurchase,Purchased a product online
CNTID_1067,OPID_1148,161,12/2/2018,177,OnlinePurchase,Purchased a product online
CNTID_1067,OPID_1149,45321,1/22/2019,167,OnlinePurchase,Purchased a product online
CNTID_1068,OPID_1150,98,4/4/2018,150,OnlinePurchase,Purchased a product online
CNTID_1068,OPID_1151,579,11/23/2018,211,OnlinePurchase,Purchased a product online
CNTID_1068,OPID_1152,324,1/1/2019,100,OnlinePurchase,Purchased a product online
CNTID_1068,OPID_1153,414,1/21/2019,151,OnlinePurchase,Purchased a product online
CNTID_1069,OPID_1154,94,4/29/2018,81,OnlinePurchase,Purchased a product online
CNTID_1070,OPID_1155,675,7/15/2018,214,OnlinePurchase,Purchased a product online
CNTID_1070,OPID_1156,245,9/9/2018,178,OnlinePurchase,Purchased a product online
CNTID_1070,OPID_1157,479,9/29/2018,184,OnlinePurchase,Purchased a product online
CNTID_1071,OPID_1158,SVCHRRefurbishTestAssemblyUnit,11/18/2018,208,OnlinePurchase,Purchased a product online
CNTID_1071,OPID_1159,26,12/19/2018,143,OnlinePurchase,Purchased a product online
CNTID_1072,OPID_1160,283,5/17/2018,145,OnlinePurchase,Purchased a product online
CNTID_1072,OPID_1161,P-01024-R2T5N0,8/24/2018,191,OnlinePurchase,Purchased a product online
CNTID_1072,OPID_1162,2,11/27/2018,104,OnlinePurchase,Purchased a product online
CNTID_1072,OPID_1163,341,12/23/2018,186,OnlinePurchase,Purchased a product online
CNTID_1073,OPID_1164,292,6/2/2018,70,OnlinePurchase,Purchased a product online
CNTID_1073,OPID_1165,562,10/15/2018,66,OnlinePurchase,Purchased a product online
CNTID_1073,OPID_1166,5637146303,12/9/2018,217,OnlinePurchase,Purchased a product online
CNTID_1073,OPID_1167,239,12/17/2018,33,OnlinePurchase,Purchased a product online
CNTID_1074,OPID_1168,187,2/24/2018,163,OnlinePurchase,Purchased a product online
CNTID_1074,OPID_1169,CSATPRD,2/27/2018,174,OnlinePurchase,Purchased a product online
CNTID_1075,OPID_1170,663,4/6/2017,173,OnlinePurchase,Purchased a product online
CNTID_1075,OPID_1171,537,10/15/2017,247,OnlinePurchase,Purchased a product online
CNTID_1075,OPID_1172,560,3/21/2018,132,OnlinePurchase,Purchased a product online
CNTID_1076,OPID_1173,160,3/2/2017,215,OnlinePurchase,Purchased a product online
CNTID_1077,OPID_1174,104,8/23/2017,116,OnlinePurchase,Purchased a product online
CNTID_1077,OPID_1175,592,12/5/2017,91,OnlinePurchase,Purchased a product online
CNTID_1077,OPID_1176,P-01040-W5D6H5,8/13/2018,98,OnlinePurchase,Purchased a product online
CNTID_1077,OPID_1177,652,12/19/2018,204,OnlinePurchase,Purchased a product online
CNTID_1080,OPID_1178,290,2/19/2017,99,OnlinePurchase,Purchased a product online
CNTID_1080,OPID_1179,133,10/10/2017,222,OnlinePurchase,Purchased a product online
CNTID_1080,OPID_1180,652,3/2/2018,157,OnlinePurchase,Purchased a product online
CNTID_1081,OPID_1181,391,4/16/2017,150,OnlinePurchase,Purchased a product online
CNTID_1081,OPID_1182,P-01000-D5D9C3,7/29/2018,47,OnlinePurchase,Purchased a product online
CNTID_1081,OPID_1183,659,12/13/2018,103,OnlinePurchase,Purchased a product online
CNTID_1081,OPID_1184,423,1/30/2019,47,OnlinePurchase,Purchased a product online
CNTID_1081,OPID_1185,327,1/30/2019,69,OnlinePurchase,Purchased a product online
CNTID_1082,OPID_1186,78,9/23/2017,85,OnlinePurchase,Purchased a product online
CNTID_1082,OPID_1187,5637146310,6/16/2018,70,OnlinePurchase,Purchased a product online
CNTID_1083,OPID_1188,344,12/3/2017,139,OnlinePurchase,Purchased a product online
CNTID_1083,OPID_1189,459,4/1/2018,64,OnlinePurchase,Purchased a product online
CNTID_1083,OPID_1190,P-01011-Z4D0X9,10/24/2018,99,OnlinePurchase,Purchased a product online
CNTID_1083,OPID_1191,530,12/22/2018,114,OnlinePurchase,Purchased a product online
CNTID_1084,OPID_1192,298,4/8/2017,74,OnlinePurchase,Purchased a product online
CNTID_1084,OPID_1193,Office Desktop (sample),7/3/2017,45,OnlinePurchase,Purchased a product online
CNTID_1084,OPID_1194,5637146424,2/4/2018,183,OnlinePurchase,Purchased a product online
CNTID_1084,OPID_1195,121,5/1/2018,139,OnlinePurchase,Purchased a product online
CNTID_1086,OPID_1196,154,6/3/2018,49,OnlinePurchase,Purchased a product online
CNTID_1086,OPID_1197,141,8/25/2018,113,OnlinePurchase,Purchased a product online
CNTID_1087,OPID_1198,P-01005-Q0Y9P4,4/19/2017,51,OnlinePurchase,Purchased a product online
CNTID_1087,OPID_1199,PRDPKGpackages,12/23/2017,65,OnlinePurchase,Purchased a product online
CNTID_1087,OPID_1200,616,11/13/2018,132,OnlinePurchase,Purchased a product online
CNTID_1089,OPID_1201,135,10/28/2018,49,OnlinePurchase,Purchased a product online
CNTID_1089,OPID_1202,5637146399,12/27/2018,44,OnlinePurchase,Purchased a product online
CNTID_1089,OPID_1203,647,1/18/2019,109,OnlinePurchase,Purchased a product online
CNTID_1089,OPID_1204,191,2/6/2019,147,OnlinePurchase,Purchased a product online
CNTID_1089,OPID_1205,244,2/6/2019,50,OnlinePurchase,Purchased a product online
CNTID_1090,OPID_1206,94,4/9/2017,84,OnlinePurchase,Purchased a product online
CNTID_1090,OPID_1207,5637146411,2/3/2018,243,OnlinePurchase,Purchased a product online
CNTID_1090,OPID_1208,556,8/2/2018,209,OnlinePurchase,Purchased a product online
CNTID_1090,OPID_1209,92,11/29/2018,163,OnlinePurchase,Purchased a product online
CNTID_1090,OPID_1210,193,12/24/2018,192,OnlinePurchase,Purchased a product online
CNTID_1091,OPID_1211,560,11/19/2018,47,OnlinePurchase,Purchased a product online
CNTID_1091,OPID_1212,CMPNTPowerCMPNTWizard,1/9/2019,108,OnlinePurchase,Purchased a product online
CNTID_1091,OPID_1213,159,1/21/2019,152,OnlinePurchase,Purchased a product online
CNTID_1091,OPID_1214,628,1/29/2019,106,OnlinePurchase,Purchased a product online
CNTID_1092,OPID_1215,522,7/21/2017,182,OnlinePurchase,Purchased a product online
CNTID_1092,OPID_1216,286,11/13/2018,198,OnlinePurchase,Purchased a product online
CNTID_1092,OPID_1217,PRDPKGAVE200,12/19/2018,52,OnlinePurchase,Purchased a product online
CNTID_1093,OPID_1218,CMPNTCPUControllerMaestro,12/20/2018,147,OnlinePurchase,Purchased a product online
CNTID_1093,OPID_1219,5637146389,1/23/2019,113,OnlinePurchase,Purchased a product online
CNTID_1093,OPID_1220,339,2/4/2019,209,OnlinePurchase,Purchased a product online
CNTID_1093,OPID_1221,5637146379,2/5/2019,36,OnlinePurchase,Purchased a product online
CNTID_1093,OPID_1222,318,2/5/2019,108,OnlinePurchase,Purchased a product online
CNTID_1094,OPID_1223,180,1/8/2017,71,OnlinePurchase,Purchased a product online
CNTID_1094,OPID_1224,538,6/2/2017,247,OnlinePurchase,Purchased a product online
CNTID_1095,OPID_1225,665,9/27/2018,99,OnlinePurchase,Purchased a product online
CNTID_1095,OPID_1226,431,10/27/2018,213,OnlinePurchase,Purchased a product online
CNTID_1095,OPID_1227,5637146300,11/27/2018,31,OnlinePurchase,Purchased a product online
CNTID_1095,OPID_1228,600,1/23/2019,232,OnlinePurchase,Purchased a product online
CNTID_1095,OPID_1229,366,2/1/2019,69,OnlinePurchase,Purchased a product online
