LoyaltyId,PurchaseId,ProductId,PurchasedOn,TotalPrice,RewardPointsAdded,ActivityTypeDisplay,Subject,Location
LOYID_1000,PID_1000,155,12/14/2018,151,75,POS Purchase,Purchased a product In-Store,Jordan
LOYID_1000,PID_1001,132,4/19/2019,37,15,POS Purchase,Purchased a product In-Store,Nepal
LOYID_1000,PID_1002,5637146409,5/24/2019,104,104,POS Purchase,Purchased a product In-Store,Solomon Islands
LOYID_1000,PID_1003,5637146300,7/10/2018,159,159,POS Purchase,Purchased a product In-Store,Singapore
LOYID_1000,PID_1004,222,5/15/2018,72,420,POS Purchase,Purchased a product In-Store,Singapore
LOYID_1001,PID_1005,SVCHRRefurbishTestAssemblyUnit,4/1/2018,183,90,POS Purchase,Purchased a product In-Store,Taiwan
LOYID_1001,PID_1006,192,4/28/2018,126,36,POS Purchase,Purchased a product In-Store,Poland
LOYID_1001,PID_1007,205,11/3/2018,195,34,POS Purchase,Purchased a product In-Store,United States Minor Outlying Islands
LOYID_1001,PID_1008,252,12/24/2018,65,24,POS Purchase,Purchased a product In-Store,Singapore
LOYID_1002,PID_1009,2,9/4/2018,139,34,POS Purchase,Purchased a product In-Store,Singapore
LOYID_1002,PID_1010,5637146407,1/31/2019,146,32,POS Purchase,Purchased a product In-Store,Sao Tome and Principe
LOYID_1002,PID_1011,155,2/6/2019,51,40,POS Purchase,Purchased a product In-Store,Panama
LOYID_1002,PID_1012,120,2/6/2019,94,37,POS Purchase,Purchased a product In-Store,Sierra Leone
LOYID_1002,PID_1013,8,2/6/2019,40,21,POS Purchase,Purchased a product In-Store,Andorra
LOYID_1003,PID_1014,261,11/10/2018,94,24,POS Purchase,Purchased a product In-Store,Singapore
LOYID_1003,PID_1015,365,1/22/2019,118,48,POS Purchase,Purchased a product In-Store,Madagascar
LOYID_1003,PID_1016,CMPNTGripArrayWizard,1/31/2019,195,49,POS Purchase,Purchased a product In-Store,Antigua and Barbuda
LOYID_1004,PID_1017,120,7/23/2018,193,45,POS Purchase,Purchased a product In-Store,Central African Republic
LOYID_1004,PID_1018,273,10/6/2018,63,33,POS Purchase,Purchased a product In-Store,Taiwan
LOYID_1004,PID_1019,320,10/12/2018,175,35,POS Purchase,Purchased a product In-Store,Peru
LOYID_1004,PID_1020,202,11/2/2018,41,33,POS Purchase,Purchased a product In-Store,New Zealand
LOYID_1004,PID_1021,253,12/26/2018,124,22,POS Purchase,Purchased a product In-Store,Armenia
LOYID_1005,PID_1022,486,12/4/2018,168,26,POS Purchase,Purchased a product In-Store,Indonesia
LOYID_1005,PID_1023,608,2/4/2019,69,30,POS Purchase,Purchased a product In-Store,Oman
LOYID_1005,PID_1024,PRDPKGAVE200,2/4/2019,133,37,POS Purchase,Purchased a product In-Store,Uzbekistan
LOYID_1005,PID_1025,578,2/6/2019,47,20,POS Purchase,Purchased a product In-Store,India
LOYID_1006,PID_1026,Lync Online (sample),1/16/2018,178,22,POS Purchase,Purchased a product In-Store,Andorra
LOYID_1006,PID_1027,5637146302,4/7/2018,111,28,POS Purchase,Purchased a product In-Store,Guinea
LOYID_1006,PID_1028,5637146317,5/24/2018,127,20,POS Purchase,Purchased a product In-Store,Singapore
LOYID_1006,PID_1029,PRDPKGAB100,12/14/2018,149,27,POS Purchase,Purchased a product In-Store,Rwanda
LOYID_1007,PID_1030,622,9/24/2018,141,43,POS Purchase,Purchased a product In-Store,Mali
LOYID_1007,PID_1031,528,10/24/2018,126,24,POS Purchase,Purchased a product In-Store,Bhutan
LOYID_1007,PID_1032,290,1/8/2019,57,21,POS Purchase,Purchased a product In-Store,Puerto Rico
LOYID_1007,PID_1033,49,1/9/2019,95,20,POS Purchase,Purchased a product In-Store,"Bonaire, Sint Eustatius and Saba"
LOYID_1007,PID_1034,309,1/9/2019,136,26,POS Purchase,Purchased a product In-Store,Ethiopia
